week,ID,R,Y,G,W,P,M,plants,aphids_per_click,fungus_present,plants_no_growth,spider_contam,ptoid_contam,mummy_contam,aphids_extinct,ptoids_extinct,ptoids_added
3,26RYG,49,56,32,53,0,0,4,5,0,1,0,0,0,0,0,2
3,27RYGP,87,68,60,66,0,0,4,5,0,0,0,0,0,0,0,2
3,28RP,599,0,0,38,0,0,4,5,0,0,0,0,0,0,0,2
3,29YP,0,286,0,55,0,0,4,5,0,1,0,0,0,0,0,2
3,30GP,0,0,629,147,0,0,4,5,0,0,0,0,0,0,0,2
4,1RYG,,,,,,,,,,,,,,0,0,2
4,2RYGP,,,,,,,,,,,,,,0,0,2
4,3RP,,0,0,,,,,,,,,,,0,0,2
4,4YP,0,,0,,,,,,,,,,,0,0,2
4,5GP,0,0,,,,,,,,,,,,0,0,2
4,6RYG,,,,,,,,,,,,,,0,0,2
4,7RYGP,,,,,,,,,,,,,,0,0,2
4,8RP,,0,0,,,,,,,,,,,0,0,2
4,9YP,0,,0,,,,,,,,,,,0,0,2
4,10GP,0,0,,,,,,,,,,,,0,0,2
4,11RYG,,,,,,,,,,,,,,0,0,2
4,12RYGP,,,,,,,,,,,,,,0,0,2
4,13RP,,0,0,,,,,,,,,,,0,0,2
4,14YP,0,,0,,,,,,,,,,,0,0,2
4,15GP,0,0,,,,,,,,,,,,0,0,2
4,16RYG,,,,,,,,,,,,,,0,0,2
4,17RYGP,,,,,,,,,,,,,,0,0,2
4,18RP,,0,0,,,,,,,,,,,0,0,2
4,19YP,0,,0,,,,,,,,,,,0,0,2
4,20GP,0,0,,,,,,,,,,,,0,0,2
4,21RYG,,,,,,,,,,,,,,0,0,2
4,22RYGP,,,,,,,,,,,,,,0,0,2
4,23RP,,0,0,,,,,,,,,,,0,0,2
4,24YP,0,,0,,,,,,,,,,,0,0,2
4,25GP,0,0,,,,,,,,,,,,0,0,2
4,26RYG,,,,,,,,,,,,,,0,0,2
4,27RYGP,,,,,,,,,,,,,,0,0,2
4,28RP,,0,0,,,,,,,,,,,0,0,2
4,29YP,0,,0,,,,,,,,,,,0,0,2
4,30GP,0,0,,,,,,,,,,,,0,0,2
5,1RYG,184,213,127,52,0,0,4,5,0,0,0,0,0,0,0,0
5,2RYGP,53,80,58,10,5,4,4,5,0,1,0,0,0,0,0,0
5,3RP,1314,0,0,111,0,6,4,1,0,1,0,0,0,0,0,0
5,4YP,0,431,0,6,1,6,4,5,0,0,0,0,0,0,0,0
5,5GP,0,0,320,17,7,13,4,5,0,0,0,0,0,0,0,0
5,6RYG,174,215,173,34,0,0,4,5,0,0,0,0,0,0,0,0
5,7RYGP,144,285,144,49,4,36,4,5,0,0,0,0,0,0,0,0
5,8RP,308,0,0,36,2,27,4,5,0,0,0,0,0,0,0,0
5,9YP,0,456,0,3,3,13,4,5,0,0,0,0,0,0,0,0
5,10GP,0,0,349,21,1,25,4,5,0,0,0,0,0,0,0,0
5,11RYG,46,48,42,8,0,0,2,5,0,0,0,0,0,0,0,0
5,12RYGP,106,172,99,8,4,15,4,5,0,0,0,0,0,0,0,0
5,13RP,272,0,0,44,0,18,4,5,0,0,0,0,0,0,0,0
5,14YP,0,529,0,3,2,15,4,5,0,0,0,0,0,0,0,0
5,15GP,0,0,532,53,6,74,4,5,0,0,0,0,0,0,0,0
5,16RYG,94,175,117,21,0,0,4,5,0,1,0,0,0,0,0,0
5,17RYGP,114,169,69,30,8,4,4,5,0,0,0,0,0,0,0,0
5,18RP,281,0,0,15,1,11,4,5,0,0,0,0,0,0,0,0
5,19YP,0,444,0,0,1,7,4,5,0,0,0,0,0,0,0,0
5,20GP,0,0,421,19,4,20,4,5,0,0,0,0,0,0,0,0
5,21RYG,60,149,86,6,0,0,4,5,0,1,1,0,0,0,0,0
5,22RYGP,106,207,60,10,0,15,4,5,0,0,0,0,0,0,0,0
5,23RP,444,0,0,160,2,16,4,5,0,0,0,0,0,0,0,0
5,24YP,0,634,0,3,1,12,4,5,0,0,0,0,0,0,0,0
5,25GP,0,0,556,63,7,9,4,5,0,0,0,0,0,0,0,0
5,26RYG,226,294,202,32,0,0,4,5,0,0,0,0,0,0,0,0
5,27RYGP,120,223,121,21,1,5,4,5,0,0,0,0,0,0,0,0
5,28RP,414,0,0,86,2,18,4,5,0,0,0,0,0,0,0,0
5,29YP,0,333,0,1,2,7,4,5,0,0,0,0,0,0,0,0
5,30GP,0,0,612,7,2,9,4,5,0,0,0,0,0,0,0,0
6,1RYG,38,42,28,0,0,0,4,5,0,1,0,0,0,0,0,0
6,2RYGP,50,84,42,5,3,2,4,5,0,1,0,0,0,0,0,0
6,3RP,81,0,0,1,0,0,4,5,0,1,0,0,0,0,0,0
6,4YP,0,199,0,0,9,20,4,5,0,1,0,0,0,0,0,0
6,5GP,0,0,137,1,2,0,4,5,0,1,0,0,0,0,0,0
6,6RYG,43,45,39,0,0,0,4,5,0,1,0,0,0,0,0,0
6,7RYGP,28,42,35,1,8,4,4,5,0,1,0,0,0,0,0,0
6,8RP,99,0,0,2,14,8,4,5,0,1,0,0,0,0,0,0
6,9YP,0,196,0,0,21,3,4,5,0,1,0,0,0,0,0,0
